CS8073	CodeAnalysis\JavaScript\JsTreeWrapper.cs	216
CS8603	CodeAnalysis\CodeAnalysisApi.cs	39
CS8603	CodeAnalysis\CodeAnalysisApi.cs	42
CS8603	CodeAnalysis\CodeAnalysisApi.cs	46
CS8603	CodeAnalysis\CodeAnalysisApi.cs	55
CS8603	CodeAnalysis\CodeAnalysisApi.cs	59
CS8603	CodeAnalysis\CodeAnalysisApi.cs	63
CS8603	CodeAnalysis\CodeAnalysisApi.cs	72
CS8603	CodeAnalysis\CodeAnalysisApi.cs	75
CS8603	CodeAnalysis\CodeAnalysisApi.cs	79
CS8603	CodeAnalysis\CodeAnalysisApi.cs	83
CS8603	CodeAnalysis\CodeMetricsAnalyzer.cs	30
CS8603	CodeAnalysis\ProjectLoader.cs	345
CS8603	CodeAnalysis\RoslynParser.cs	255
CS8603	CodeAnalysis\RoslynParser.cs	261
CS8603	CodeAnalysis\RoslynParser.cs	586
CS8603	CodeAnalysis\UnifiedCodeAnalysisApi.cs	129
CS8603	CodeAnalysis\UnifiedCodeAnalysisApi.cs	320
CS8603	CodeAnalysis\UnifiedCodeAnalysisApi.cs	325
CS8603	CodeAnalysis\UnifiedCodeAnalysisApi.cs	328
CS8603	CodeAnalysis\UnifiedCodeAnalysisApi.cs	345
CS8603	CodeAnalysis\UnifiedCodeAnalysisApi.cs	350
CS8603	CodeAnalysis\UnifiedCodeAnalysisApi.cs	353
CS8603	Core\DiffOperations.cs	342
CS8603	Core\DiffOperations.cs	441
CS8603	Core\DiffOperations.cs	446
CS8603	Core\ProcessOperations.cs	245
CS8603	Core\ProcessOperations.cs	252
CS8603	Core\WebSocketServer.cs	433
CS8603	Models\CodeStructure.cs	170
CS8603	Models\CodeStructure.cs	232
CS8603	Models\CodeStructure.cs	273
CS8603	Models\CodeStructure.cs	308
CS8603	Models\UnifiedCodeModel.cs	251
CS8603	Models\UnifiedCodeModel.cs	334
CS8603	Utils\JsonHelper.cs	27
CS8603	Utils\JsonHelper.cs	33
CS8603	Utils\JsonHelper.cs	40
CS8603	Utils\JsonHelper.cs	46
CS8604	CodeAnalysis\ProjectLoader.cs	147
CS8604	CodeAnalysis\ProjectLoader.cs	160
CS8604	CodeAnalysis\ProjectLoader.cs	180
CS8604	CodeAnalysis\ProjectLoader.cs	186
CS8604	CodeAnalysis\ProjectLoader.cs	345
CS8604	CodeAnalysis\ProjectLoader.cs	362
CS8604	CodeAnalysis\ProjectLoader.cs	95
CS8604	CodeAnalysis\RoslynSemanticAnalyzer.cs	134
CS8604	CodeAnalysis\RoslynSemanticAnalyzer.cs	189
CS8604	CodeAnalysis\RoslynSemanticAnalyzer.cs	56
CS8604	CodeAnalysis\SmartCodeEditor.cs	263
CS8604	CodeAnalysis\SmartCodeEditor.cs	401
CS8604	CodeAnalysis\UnifiedCodeAnalysisApi.cs	1725
CS8604	CodeAnalysis\UnifiedCodeAnalysisApi.cs	1739
CS8604	CodeAnalysis\UnifiedCodeAnalysisApi.cs	1753
CS8604	CodeAnalysis\UnifiedCodeAnalysisApi.cs	1763
CS8604	CodeAnalysis\UnifiedCodeAnalysisApi.cs	1773
CS8604	CodeAnalysis\UnifiedCodeAnalysisApi.cs	1783
CS8604	CodeAnalysis\UnifiedCodeAnalysisApi.cs	1825
CS8604	CodeAnalysis\UnifiedCodeAnalysisApi.cs	1836
CS8604	CodeAnalysis\UnifiedCodeAnalysisApi.cs	1842
CS8604	CodeAnalysis\UnifiedCodeAnalysisApi.cs	1854
CS8604	CodeAnalysis\UnifiedCodeAnalysisApi.cs	1860
CS8604	CodeAnalysis\UnifiedCodeAnalysisApi.cs	1872
CS8604	CodeAnalysis\UnifiedCodeAnalysisApi.cs	1916
CS8604	CodeAnalysis\UnifiedCodeAnalysisApi.cs	1929
CS8604	CodeAnalysis\UnifiedCodeAnalysisApi.cs	1967
CS8604	CodeAnalysis\UnifiedCodeAnalysisApi.cs	1987
CS8604	CodeAnalysis\UnifiedCodeAnalysisApi.cs	1997
CS8604	CodeAnalysis\UnifiedCodeAnalysisApi.cs	2006
CS8604	CodeAnalysis\UnifiedCodeAnalysisApi.cs	2015
CS8604	CodeAnalysis\UnifiedCodeAnalysisApi.cs	2037
CS8604	CodeAnalysis\UnifiedCodeAnalysisApi.cs	2062
CS8604	CodeAnalysis\UnifiedCodeAnalysisApi.cs	2088
CS8604	CodeAnalysis\UnifiedCodeAnalysisApi.cs	2164
CS8604	CodeAnalysis\UnifiedCodeAnalysisApi.cs	2177
CS8604	CodeAnalysis\UnifiedCodeAnalysisApi.cs	2187
CS8604	CodeAnalysis\UnifiedCodeAnalysisApi.cs	2212
CS8604	CodeAnalysis\UnifiedCodeAnalysisApi.cs	2228
CS8604	CodeAnalysis\UnifiedCodeAnalysisApi.cs	2253
CS8604	CodeAnalysis\UnifiedCodeAnalysisApi.cs	2274
CS8604	CodeAnalysis\UnifiedCodeAnalysisApi.cs	2304
CS8604	CodeAnalysis\UnifiedCodeAnalysisApi.cs	2320
CS8604	CodeAnalysis\UnifiedCodeAnalysisApi.cs	2357
CS8604	CodeAnalysis\UnifiedCodeAnalysisApi.cs	2373
CS8604	CodeAnalysis\UnifiedCodeAnalysisApi.cs	2393
CS8604	CodeAnalysis\UnifiedCodeAnalysisApi.cs	2433
CS8604	CodeAnalysis\UnifiedCodeAnalysisApi.cs	2455
CS8604	CodeAnalysis\UnifiedCodeAnalysisApi.cs	2465
CS8604	CodeAnalysis\UnifiedCodeAnalysisApi.cs	2478
CS8604	CodeAnalysis\UnifiedCodeAnalysisApi.cs	2504
CS8604	CodeAnalysis\UnifiedCodeAnalysisApi.cs	2524
CS8604	CodeAnalysis\UnifiedCodeAnalysisApi.cs	2531
CS8604	CodeAnalysis\UnifiedCodeAnalysisApi.cs	2540
CS8604	CodeAnalysis\UnifiedCodeAnalysisApi.cs	2566
CS8604	CodeAnalysis\UnifiedCodeAnalysisApi.cs	2585
CS8604	Core\AgentCore.cs	113
CS8604	Core\HttpClientOperations.cs	116
CS8604	Core\HttpClientOperations.cs	132
CS8604	Core\HttpClientOperations.cs	182
CS8604	Core\HttpClientOperations.cs	46
CS8604	Core\HttpClientOperations.cs	62
CS8604	Core\HttpClientOperations.cs	80
CS8604	Core\HttpClientOperations.cs	98
CS8604	Core\SkillManager.cs	168
CS8604	Core\SkillManager.cs	198
CS8604	Core\SkillManager.cs	204
CS8604	ScriptApi\AgentBridgeApi.cs	40
CS8604	ScriptApi\FrameworkApiAlias.cs	5106
CS8604	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	1040
CS8604	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	1064
CS8604	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	1134
CS8604	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	1158
CS8604	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	1228
CS8604	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	1252
CS8604	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	175
CS8604	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	199
CS8604	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	269
CS8604	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	293
CS8604	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	364
CS8604	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	388
CS8604	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	458
CS8604	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	482
CS8604	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	505
CS8604	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	529
CS8604	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	602
CS8604	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	627
CS8604	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	700
CS8604	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	725
CS8604	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	798
CS8604	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	823
CS8604	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	943
CS8604	ScriptApi\UnifiedCodeAnalysisScriptApi.cs	968
CS8618	CodeAnalysis\ProjectLoader.cs	14
CS8618	CodeAnalysis\ProjectLoader.cs	15
CS8618	CodeAnalysis\ProjectLoader.cs	16
CS8618	CodeAnalysis\ProjectLoader.cs	17
CS8618	CodeAnalysis\TreeSitter\Adapters\CAdapter.cs	121
CS8618	CodeAnalysis\TreeSitter\Adapters\CppAdapter.cs	121
CS8618	CodeAnalysis\UnifiedCodeAnalysisApi.cs	20
CS8618	CodeAnalysis\UnifiedCodeAnalysisApi.cs	22
CS8618	CodeAnalysis\UnifiedCodeAnalysisApi.cs	24
CS8618	Core\DiffOperations.cs	1617
CS8618	Core\DiffOperations.cs	1623
CS8618	Core\DiffOperations.cs	1629
CS8618	Core\DiffOperations.cs	1630
CS8618	Core\DiffOperations.cs	1633
CS8618	Core\DiffOperations.cs	1639
CS8618	Core\DiffOperations.cs	1649
CS8618	Core\DiffOperations.cs	1652
CS8618	Core\DiffOperations.cs	1654
CS8618	Core\DiffOperations.cs	1667
CS8618	Core\DiffOperations.cs	1668
CS8618	Core\DiffOperations.cs	1669
CS8618	Core\HybridTrie.cs	27
CS8618	Core\HybridTrie.cs	47
CS8618	Core\HybridTrie.cs	48
CS8618	Core\HybridTrie.cs	77
CS8618	Core\MixedSegmenterEnhanced.cs	140
CS8618	Core\MixedSegmenterEnhanced.cs	29
CS8618	Core\MixedSegmenterEnhanced.cs	43
CS8618	Core\MixedSegmenterEnhanced.cs	44
CS8618	Core\MixedSegmenterEnhanced.cs	454
CS8618	Core\ProcessOperations.cs	328
CS8618	Core\ProcessOperations.cs	329
CS8618	Core\WebSocketServer.cs	49
CS8618	ScriptApi\FrameworkApiAlias.cs	1002
CS8618	ScriptApi\FrameworkApiAlias.cs	1003
CS8618	ScriptApi\FrameworkApiAlias.cs	1019
CS8618	ScriptApi\FrameworkApiAlias.cs	1035
CS8618	ScriptApi\FrameworkApiAlias.cs	1051
CS8618	ScriptApi\FrameworkApiAlias.cs	1067
CS8618	ScriptApi\FrameworkApiAlias.cs	1083
CS8618	ScriptApi\FrameworkApiAlias.cs	1099
CS8618	ScriptApi\FrameworkApiAlias.cs	1115
CS8618	ScriptApi\FrameworkApiAlias.cs	1131
CS8618	ScriptApi\FrameworkApiAlias.cs	1147
CS8618	ScriptApi\FrameworkApiAlias.cs	1163
CS8618	ScriptApi\FrameworkApiAlias.cs	1179
CS8618	ScriptApi\FrameworkApiAlias.cs	1195
CS8618	ScriptApi\FrameworkApiAlias.cs	1211
CS8618	ScriptApi\FrameworkApiAlias.cs	1227
CS8618	ScriptApi\FrameworkApiAlias.cs	1243
CS8618	ScriptApi\FrameworkApiAlias.cs	1259
CS8618	ScriptApi\FrameworkApiAlias.cs	1275
CS8618	ScriptApi\FrameworkApiAlias.cs	1291
CS8618	ScriptApi\FrameworkApiAlias.cs	1307
CS8618	ScriptApi\FrameworkApiAlias.cs	1323
CS8618	ScriptApi\FrameworkApiAlias.cs	1339
CS8618	ScriptApi\FrameworkApiAlias.cs	1359
CS8618	ScriptApi\FrameworkApiAlias.cs	1379
CS8618	ScriptApi\FrameworkApiAlias.cs	1399
CS8618	ScriptApi\FrameworkApiAlias.cs	1419
CS8618	ScriptApi\FrameworkApiAlias.cs	1439
CS8618	ScriptApi\FrameworkApiAlias.cs	1459
CS8618	ScriptApi\FrameworkApiAlias.cs	1479
CS8618	ScriptApi\FrameworkApiAlias.cs	1499
CS8618	ScriptApi\FrameworkApiAlias.cs	1520
CS8618	ScriptApi\FrameworkApiAlias.cs	1521
CS8618	ScriptApi\FrameworkApiAlias.cs	1522
CS8618	ScriptApi\FrameworkApiAlias.cs	1542
CS8618	ScriptApi\FrameworkApiAlias.cs	1543
CS8618	ScriptApi\FrameworkApiAlias.cs	1544
CS8618	ScriptApi\FrameworkApiAlias.cs	1568
CS8618	ScriptApi\FrameworkApiAlias.cs	1569
CS8618	ScriptApi\FrameworkApiAlias.cs	1570
CS8618	ScriptApi\FrameworkApiAlias.cs	1597
CS8618	ScriptApi\FrameworkApiAlias.cs	1598
CS8618	ScriptApi\FrameworkApiAlias.cs	1599
CS8618	ScriptApi\FrameworkApiAlias.cs	1615
CS8618	ScriptApi\FrameworkApiAlias.cs	1651
CS8618	ScriptApi\FrameworkApiAlias.cs	1652
CS8618	ScriptApi\FrameworkApiAlias.cs	1653
CS8618	ScriptApi\FrameworkApiAlias.cs	1692
CS8618	ScriptApi\FrameworkApiAlias.cs	1693
CS8618	ScriptApi\FrameworkApiAlias.cs	1714
CS8618	ScriptApi\FrameworkApiAlias.cs	1736
CS8618	ScriptApi\FrameworkApiAlias.cs	1758
CS8618	ScriptApi\FrameworkApiAlias.cs	1786
CS8618	ScriptApi\FrameworkApiAlias.cs	1787
CS8618	ScriptApi\FrameworkApiAlias.cs	1788
CS8618	ScriptApi\FrameworkApiAlias.cs	1789
CS8618	ScriptApi\FrameworkApiAlias.cs	1811
CS8618	ScriptApi\FrameworkApiAlias.cs	1812
CS8618	ScriptApi\FrameworkApiAlias.cs	1813
CS8618	ScriptApi\FrameworkApiAlias.cs	1814
CS8618	ScriptApi\FrameworkApiAlias.cs	1832
CS8618	ScriptApi\FrameworkApiAlias.cs	1833
CS8618	ScriptApi\FrameworkApiAlias.cs	1851
CS8618	ScriptApi\FrameworkApiAlias.cs	1852
CS8618	ScriptApi\FrameworkApiAlias.cs	1870
CS8618	ScriptApi\FrameworkApiAlias.cs	1871
CS8618	ScriptApi\FrameworkApiAlias.cs	1889
CS8618	ScriptApi\FrameworkApiAlias.cs	1890
CS8618	ScriptApi\FrameworkApiAlias.cs	1908
CS8618	ScriptApi\FrameworkApiAlias.cs	1909
CS8618	ScriptApi\FrameworkApiAlias.cs	1927
CS8618	ScriptApi\FrameworkApiAlias.cs	1928
CS8618	ScriptApi\FrameworkApiAlias.cs	1946
CS8618	ScriptApi\FrameworkApiAlias.cs	1947
CS8618	ScriptApi\FrameworkApiAlias.cs	1965
CS8618	ScriptApi\FrameworkApiAlias.cs	1966
CS8618	ScriptApi\FrameworkApiAlias.cs	1982
CS8618	ScriptApi\FrameworkApiAlias.cs	338
CS8618	ScriptApi\FrameworkApiAlias.cs	339
CS8618	ScriptApi\FrameworkApiAlias.cs	368
CS8618	ScriptApi\FrameworkApiAlias.cs	369
CS8618	ScriptApi\FrameworkApiAlias.cs	398
CS8618	ScriptApi\FrameworkApiAlias.cs	399
CS8618	ScriptApi\FrameworkApiAlias.cs	428
CS8618	ScriptApi\FrameworkApiAlias.cs	429
CS8618	ScriptApi\FrameworkApiAlias.cs	458
CS8618	ScriptApi\FrameworkApiAlias.cs	459
CS8618	ScriptApi\FrameworkApiAlias.cs	483
CS8618	ScriptApi\FrameworkApiAlias.cs	484
CS8618	ScriptApi\FrameworkApiAlias.cs	508
CS8618	ScriptApi\FrameworkApiAlias.cs	509
CS8618	ScriptApi\FrameworkApiAlias.cs	533
CS8618	ScriptApi\FrameworkApiAlias.cs	534
CS8618	ScriptApi\FrameworkApiAlias.cs	556
CS8618	ScriptApi\FrameworkApiAlias.cs	580
CS8618	ScriptApi\FrameworkApiAlias.cs	581
CS8618	ScriptApi\FrameworkApiAlias.cs	605
CS8618	ScriptApi\FrameworkApiAlias.cs	606
CS8618	ScriptApi\FrameworkApiAlias.cs	641
CS8618	ScriptApi\FrameworkApiAlias.cs	642
CS8618	ScriptApi\FrameworkApiAlias.cs	677
CS8618	ScriptApi\FrameworkApiAlias.cs	678
CS8618	ScriptApi\FrameworkApiAlias.cs	702
CS8618	ScriptApi\FrameworkApiAlias.cs	718
CS8618	ScriptApi\FrameworkApiAlias.cs	734
CS8618	ScriptApi\FrameworkApiAlias.cs	750
CS8618	ScriptApi\FrameworkApiAlias.cs	766
CS8618	ScriptApi\FrameworkApiAlias.cs	782
CS8618	ScriptApi\FrameworkApiAlias.cs	798
CS8618	ScriptApi\FrameworkApiAlias.cs	816
CS8618	ScriptApi\FrameworkApiAlias.cs	817
CS8618	ScriptApi\FrameworkApiAlias.cs	833
CS8618	ScriptApi\FrameworkApiAlias.cs	849
CS8618	ScriptApi\FrameworkApiAlias.cs	865
CS8618	ScriptApi\FrameworkApiAlias.cs	883
CS8618	ScriptApi\FrameworkApiAlias.cs	884
CS8618	ScriptApi\FrameworkApiAlias.cs	904
CS8618	ScriptApi\FrameworkApiAlias.cs	905
CS8618	ScriptApi\FrameworkApiAlias.cs	925
CS8618	ScriptApi\FrameworkApiAlias.cs	926
CS8618	ScriptApi\FrameworkApiAlias.cs	942
CS8618	ScriptApi\FrameworkApiAlias.cs	958
CS8618	ScriptApi\FrameworkApiAlias.cs	974
CS8620	ScriptApi\FrameworkApiAlias.cs	2667
CS8622	Core\NativeLibraryLoader.cs	129
CS8625	CodeAnalysis\UnifiedCodeAnalysisApi.cs	1017
CS8625	CodeAnalysis\UnifiedCodeAnalysisApi.cs	1026
CS8625	CodeAnalysis\UnifiedCodeAnalysisApi.cs	1035
CS8625	CodeAnalysis\UnifiedCodeAnalysisApi.cs	1044
CS8625	CodeAnalysis\UnifiedCodeAnalysisApi.cs	1053
CS8625	CodeAnalysis\UnifiedCodeAnalysisApi.cs	1062
CS8625	CodeAnalysis\UnifiedCodeAnalysisApi.cs	1116
CS8625	CodeAnalysis\UnifiedCodeAnalysisApi.cs	1148
CS8625	CodeAnalysis\UnifiedCodeAnalysisApi.cs	1216
CS8625	CodeAnalysis\UnifiedCodeAnalysisApi.cs	1248
CS8625	CodeAnalysis\UnifiedCodeAnalysisApi.cs	1316
CS8625	CodeAnalysis\UnifiedCodeAnalysisApi.cs	1348
CS8625	CodeAnalysis\UnifiedCodeAnalysisApi.cs	1417
CS8625	CodeAnalysis\UnifiedCodeAnalysisApi.cs	1449
CS8625	CodeAnalysis\UnifiedCodeAnalysisApi.cs	1575
CS8625	CodeAnalysis\UnifiedCodeAnalysisApi.cs	1587
CS8625	CodeAnalysis\UnifiedCodeAnalysisApi.cs	1620
CS8625	CodeAnalysis\UnifiedCodeAnalysisApi.cs	1632
CS8625	CodeAnalysis\UnifiedCodeAnalysisApi.cs	1665
CS8625	CodeAnalysis\UnifiedCodeAnalysisApi.cs	1677
CS8625	CodeAnalysis\UnifiedCodeAnalysisApi.cs	201
CS8625	CodeAnalysis\UnifiedCodeAnalysisApi.cs	246
CS8625	CodeAnalysis\UnifiedCodeAnalysisApi.cs	261
CS8625	CodeAnalysis\UnifiedCodeAnalysisApi.cs	45
CS8625	CodeAnalysis\UnifiedCodeAnalysisApi.cs	899
CS8625	CodeAnalysis\UnifiedCodeAnalysisApi.cs	909
CS8625	CodeAnalysis\UnifiedCodeAnalysisApi.cs	940
CS8625	CodeAnalysis\UnifiedCodeAnalysisApi.cs	950
CS8625	CodeAnalysis\UnifiedCodeAnalysisApi.cs	981
CS8625	CodeAnalysis\UnifiedCodeAnalysisApi.cs	990
CS8625	Core\AgentCore.cs	112
CS8625	Core\HybridTrie.cs	29
CS8625	Core\HybridTrie.cs	63
CS8625	Core\MixedSegmenterEnhanced.cs	148
CS8625	Core\MixedSegmenterEnhanced.cs	150
CS8625	Core\MixedSegmenterEnhanced.cs	240
CS8625	Core\MixedSegmenterEnhanced.cs	29
CS8625	Core\MixedSegmenterEnhanced.cs	57
CS8625	Core\WebSocketServer.cs	118
CS8625	ScriptApi\FrameworkApiAlias.cs	2013
CS8625	ScriptApi\FrameworkApiAlias.cs	2014
CS8625	ScriptApi\FrameworkApiAlias.cs	2015
CS8625	ScriptApi\FrameworkApiAlias.cs	2283
CS8625	Utils\JsonHelper.cs	52
